,label,text
1162030,1,thank
786580,0,found mutual friend die leukaemia tue eve leav behind two young daughter
1550556,1,wish smile today
1240142,1,funner
1309010,1,well wonder surpris
156356,0,oh disgust realli sad
1233438,1,photo nick amp simon make want break song la elton john quot hey nikita cold quot
1201476,1,movi award heard king leon play ggrreeaaattt lt
1496082,1,ps hope help
1132437,1,headin filthi mcnasti go good night
21311,0,yeah phone stuf
1068748,1,iz happi third chappi post
1321753,1,think import ingredi toss honesti commun high us thank share
511912,0,meant last tweet sent rape amp spaz everyon world oop
1555662,1,tell roomi get twitter want see seem realli cool
594434,0,save humili guy
114498,0,sunshin music friend summer l exam period gone quick revis time
1502029,1,grudg malditang antipatika think new pic tag quot di quot nuff said
1015692,1,get pump weekend woohoo got littl quot rock age quot playlist readi rock pod workout
242222,0,arriv seattl sad trip soon
1298381,1,told follow idea
1172260,1,go see quot quot
707055,0,even come say hi
1145844,1,morn dan feel might rather busi give go
954454,1,bath tweet cool
1237273,1,mani peopl see today deserv babi nap daddi also sleep back car
413431,0,derbi parti long island pretti weak horas lost lost dollar
574254,0,last day tafe today yeow know
532866,0,reason everyon buddi list aim delet made new account
1120877,1,mile walk work got clean sat outsid sunshin whole hour get u n babi yeah
1484936,1,thankyou much boyd oo oo oo good lookalik week heat send
179892,0,ps twitter still let hava pictur
962878,1,woo someon name
1557785,1,anyon look good place give old comput know person
153637,0,apolog ps love sit next
33827,0,twitter confus help
1296565,1,lol stop mean follow like bull ish block
102446,0,get rid pup today sad she gone
1383416,1,nice nice make
865917,1,hang cousin live room wait everyon get pleasant hill mo
1089777,1,awesom thank good luck deserv hd effort
301859,0,hik hik ujian ku remedi semua
455790,0,fml hate religion
128028,0,go bu stop school
1198707,1,laugh everi time kiwi skid wall
473513,0,windowsit pro took away archiv digiat magazin page look like replac new digit deliveri system damn
547604,0,alon girl haih
1098118,1,good morn lazi kid free day today
952789,1,gather creativ
1404089,1,byee nighttt
174848,0,watch edit old grey whistl test fanni mama papa amp isaac hay make show like anymor
229682,0,need break place
1111741,1,summer finnali
1422337,1,got mom pretti darn hungri want go walmart get new moon poster
259127,0,paycheck eat thing day
1415317,1,well would let beauti greec distract enough would worri homesick fugeddabout us
1101553,1,realli interest post flour
979706,1,ok need rush
471541,0,oh kinda bad smoke clatterbridg mayb feel worth give clatterbridg
1169809,1,britain got talent amaaz last night complet love winner divers well deserv moooreee sun today woop
